symbol,date,returns,year
ATSG,2020-12-31,0.33589093503371426,2020
ATSG,2021-12-30,-0.07498404594767072,2021
ATVI,2013-12-31,0.6497059286606621,2013
ATVI,2014-12-31,0.14098418579073546,2014
ATVI,2015-12-31,0.9407562439014501,2015
ATVI,2016-12-30,-0.0595750564613986,2016
ATVI,2017-12-29,0.7642669747212456,2017
ATVI,2018-12-31,-0.26073778373614576,2018
ATVI,2019-12-31,0.28617828814597934,2019
ATVI,2020-12-31,0.5728821358308638,2020
ATVI,2021-12-30,-0.26960928673475804,2021
AUSI,2021-12-30,1.5566666666666666,2021
AVAV,2013-12-31,0.30789935781421196,2013
AVAV,2014-12-31,-0.06485926784005724,2014
AVAV,2015-12-31,0.08146785321100913,2015
AVAV,2016-12-30,-0.08958259550670511,2016
AVAV,2017-12-29,1.0931792769288111,2017
AVAV,2018-12-31,0.20993584401709398,2018
AVAV,2019-12-31,-0.09139065892821152,2019
AVAV,2020-12-31,0.4075153739062076,2020
AVAV,2021-12-30,-0.2842347575550114,2021
AVB,2013-12-31,-0.10107846799800924,2013
AVB,2014-12-31,0.4273771404285793,2014
AVB,2015-12-31,0.16017795992918216,2015
AVB,2016-12-30,-0.008452819118798915,2016
AVB,2017-12-29,0.038905938783382776,2017
AVB,2018-12-31,0.010001867950309551,2018
AVB,2019-12-31,0.24096954368829016,2019
AVB,2020-12-31,-0.2027379663264166,2020
AVB,2021-12-30,0.6131419012506492,2021
AVK,2013-12-31,0.22460986557030727,2013
AVK,2014-12-31,-0.06118768164466881,2014
AVK,2015-12-31,-0.11117363295591154,2015
AVK,2016-12-30,0.17950039318131217,2016
AVK,2017-12-29,0.17279391258075316,2017
AVK,2018-12-31,-0.1336877220670285,2018
AVK,2019-12-31,0.36512876100024094,2019
AVK,2020-12-31,0.17600846366194167,2020
AVK,2021-12-30,0.2846640924027486,2021
AWK,2013-12-31,0.13439544825701066,2013
AWK,2014-12-31,0.294342015068739,2014
AWK,2015-12-31,0.148826408391306,2015
AWK,2016-12-30,0.23573434925688086,2016
AWK,2017-12-29,0.2901104089370321,2017
AWK,2018-12-31,0.013186306225368316,2018
AWK,2019-12-31,0.3779262490778177,2019
AWK,2020-12-31,0.2687537164633773,2020
AWK,2021-12-30,0.24282661565263153,2021
AXON,2013-12-31,0.7762863534675617,2013
AXON,2014-12-31,0.6675062972292192,2014
AXON,2015-12-31,-0.3470543429003021,2015
AXON,2016-12-30,0.40196637351264464,2016
AXON,2017-12-29,0.09323432343234339,2017
AXON,2018-12-31,0.6509433962264151,2018
AXON,2019-12-31,0.6749714057142857,2019
AXON,2020-12-31,0.6720797034945374,2020
AXON,2021-12-30,0.2737289502467066,2021
AXP,2013-12-31,0.5583650034008287,2013
AXP,2014-12-31,0.036626730205165714,2014
AXP,2015-12-31,-0.24209442272238713,2015
AXP,2016-12-30,0.08582162316145814,2016
AXP,2017-12-29,0.36216399966413326,2017
AXP,2018-12-31,-0.026201736508390083,2018
AXP,2019-12-31,0.3251737010040665,2019
AXP,2020-12-31,-0.011418554274124082,2020
AXP,2021-12-30,0.3735318412551991,2021
AYI,2013-12-31,0.590893185912122,2013
AYI,2014-12-31,0.28671644726374423,2014
AYI,2015-12-31,0.6741687982645483,2015
AYI,2016-12-30,-0.010435247283354432,2016
AYI,2017-12-29,-0.2355030512374897,2017
AYI,2018-12-31,-0.3443826373553672,2018
AYI,2019-12-31,0.2053824699409692,2019
AYI,2020-12-31,-0.11785713494784211,2020
AYI,2021-12-30,0.7518693648989743,2021
AZO,2013-12-31,0.33921765104211987,2013
AZO,2014-12-31,0.29537176718679437,2014
AZO,2015-12-31,0.1983492286915709,2015
AZO,2016-12-30,0.06453613880723497,2016
AZO,2017-12-29,-0.09929219815954671,2017
AZO,2018-12-31,0.17848662846680785,2018
AZO,2019-12-31,0.4210344497841805,2019
AZO,2020-12-31,-0.004927447691432496,2020
AZO,2021-12-30,0.7584357907171273,2021
BAC,2013-12-31,0.2981445018602018,2013
BAC,2014-12-31,0.15735211831035945,2014
BAC,2015-12-31,-0.04775817371011937,2015
BAC,2016-12-30,0.33368451052646186,2016
BAC,2017-12-29,0.3568521963265505,2017
BAC,2018-12-31,-0.14996593697433702,2018
BAC,2019-12-31,0.46190241379233954,2019
BAC,2020-12-31,-0.11632954772408055,2020
BAC,2021-12-30,0.49743515883674716,2021
BANC,2013-12-31,0.12955734431422417,2013
BANC,2014-12-31,-0.10875563436260272,2014
BANC,2015-12-31,0.3229460693463857,2015
BANC,2016-12-30,0.21997941833084766,2016
